MAIN main ГЛАВНАЯ главная
INT int ЦЕЛ цел
CHAR char ЛИТЕРА литера
FLOAT float ВЕЩ вещ
LONG long ДЛИН длин
DOUBLE double ДВОЙНОЙ двойной
VOID void ПУСТО пусто
BREAK break ВЫХОД выход
CASE case СЛУЧАЙ случай
CONTINUE continue ПРОДОЛЖИТЬ продолжить
DEFAULT default УМОЛЧАНИЕ умолчание
DO do ЦИКЛ цикл
ELSE else ИНАЧЕ иначе
ENUM enum ПЕРЕЧЕНЬ перечень
STRUCT struct СТРУКТУРА структура
TYPEDEF typedef ОПРТИПА опртипа
FOR for ДЛЯ для
GOTO goto ПЕРЕХОД переход
IF if ЕСЛИ если
RETURN return ВОЗВРАТ возврат
SIZEOF sizeof РАЗМЕР размер
SWITCH switch ВЫБОР выбор
WHILE while ПОКА пока
PRINTID printid ПЕЧАТЬИД печатьид
PRINT print ПЕЧАТЬ печать
PRINTF printf ПЕЧАТЬФ печатьф
SCANF scanf ЧИТАТЬФ читатьф
GETID getid ЧИТАТЬИД читатьид
ABS abs АБС абс
SQRT sqrt КВКОР квкор
EXP exp ЭКСП эксп
SIN sin СИН син
COS cos КОС кос
LOG log ЛОГ лог
LOG10 log10 ЛОГ10 лог10
ASIN asin АСИН асин
RAND rand СЛУЧ случ
ROUND round ОКРУГЛ округл

STRCPY strcpy КОПИР_СТРОКУ копир_строку
STRNCPY strncpy КОПИР_Н_СИМВ копир_н_симв
STRCAT strcat КОНКАТ_СТРОКИ конкат_строки
STRNCAT strncat КОНКАТ_Н_СИМВ конкат_н_симв
STRCMP strcmp СРАВН_СТРОК сравн_строк
STRNCMP strncmp СРАВН_Н_СИМВ сравн_н_симв
STRSTR strstr НАЧ_ПОДСТРОК нач_подстрок
STRLEN strlen ДЛИНА длина

#DEFINE #define #ОПРЕД #опред
#IFDEF #ifdef #ЕСЛИБЫЛ #еслибыл
#IFNDEF #ifndef #ЕСЛИНЕБЫЛ #еслинебыл
#IF #if #ЕСЛИ #если
#ELIF #elif #ИНЕСЛИ #инесли
#ENDIF #endif #КОНЕСЛИ #конесли
#ELSE #else #ИНАЧЕ #иначе
